Strike,Call 2020,Put 2020,Call 2021,Put 2021
470,57,10.3,,
480,50,13.2,66.6,16.6
490,43.5,16.7,60.1,20.1
500,37.6,21,54,24
510,32.5,25.7,48.3,28.3
520,28,31.2,43.2,33.2
530,24,37.2,38.5,38.5
540,20.4,43.6,34.4,44.4
550,17.4,50.6,30.6,50.6
560,15,58.2,27.3,57.3
570,,,24.3,65.3
