Strike,Call 2020,Put 2020,Call 2021,Put 2021
780,104.2,4.4,109,14.2
800,86.6,7,94.5,19.7
820,70.5,10.7,81.4,26.6
840,56.4,16,69.5,34.7
860,44.4,21.6,59.1,44.3
880,34.7,35.1,50,55.2
900,27.2,47.4,42.2,67.4
920,21.3,61.5,35.5,80.7
940,16.7,77.1,30.1,95.3
960,13.3,93.4,25.4,110.6
