Strike,Call 2020,Put 2020,Call 2021,Put 2021,Call 2022,Put 2022
300,47.7,4.7,,,,
310,40.1,7.1,,,,
320,33,10,,,,
330,26.6,13.6,53.4,10.2,,
340,21.4,18.4,46.5,13.3,50.3,9.7
350,17,24,40.2,17,43.5,13.1
360,13.4,30.3,34.5,21.3,37.6,17.2
370,10.5,37.5,29.5,26.3,32.6,22.2
380,8.3,45.3,25,31.6,28.3,27.7
390,6.5,53.5,20.7,37.5,24.6,34.2
400,,,17.4,44.2,21.5,41.1
410,,,15,51.6,19,48.4
420,,,13,59.6,16.5,53.1
430,,,,,14.4,64
